date,currency,rub to usd
01/02/2022,USD,77.4702
02/02/2022,USD,77.1302
03/02/2022,USD,76.4849
04/02/2022,USD,76.6501
05/02/2022,USD,76.0509
06/02/2022,USD,76.0509
07/02/2022,USD,76.0509
08/02/2022,USD,75.6806
09/02/2022,USD,75.3042
10/02/2022,USD,74.8015
11/02/2022,USD,74.7241
12/02/2022,USD,74.9867
13/02/2022,USD,74.9867
14/02/2022,USD,74.9867
15/02/2022,USD,76.5762
16/02/2022,USD,76.1660
17/02/2022,USD,75.0141
18/02/2022,USD,75.7527
19/02/2022,USD,75.7619
20/02/2022,USD,75.7619
21/02/2022,USD,75.7619
22/02/2022,USD,76.7671
23/02/2022,USD,80.4194
24/02/2022,USD,80.4194
25/02/2022,USD,86.9288
26/02/2022,USD,83.5485
27/02/2022,USD,83.5485
28/02/2022,USD,83.5485
